0,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Sum,Percent,Cluster
New York,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,26,0.27,5
North Carolina,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,1,0,0,2,0,0,0,1,0,0,1,0,4,1,0,0,0,8,30,0.27,3
North Dakota,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,5,20,0.25,0
Ohio,1,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,22,0.41,7
Oklahoma,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,7,0,0,0,0,1,1,1,1,0,0,1,0,0,0,7,22,0.32,4
Oregon,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,4,0,0,2,0,0,2,8,26,0.31,7
Pennsylvania,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0,1,1,1,0,3,4,24,0.17,1
Rhode Island,0,1,0,0,0,0,2,3,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,6,22,0.27,5
South Carolina,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,22,0.23,3
South Dakota,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,5,1,3,0,0,0,0,0,0,1,5,25,0.2,7
Tennessee,0,0,1,1,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,5,20,0.25,4
Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,1,0,0,0,0,0,0,23,28,0.82,6
Utah,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,9,23,0.39,7
Vermont,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,1,3,1,0,1,0,0,1,1,1,1,2,0,3,0,0,0,0,1,2,0,1,0,0,27,0.0,1
Virginia,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,5,0,1,0,0,5,23,0.22,7
Washington,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,12,20,0.6,6
West Virginia,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,0,0,6,17,0.35,6
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,2,3,0,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,25,0.04,0
Wyoming,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,8,8,28,0.29,0
